hospital_id,hospital_name,state,city,specialization,consultation_fee,rating,available_slots,beds_available,latitude,longitude,review,cost_category,rating_category
80,Amandeep Hospital Pathankot,Punjab,Pathankot,"['Orthopedics', 'General Medicine', 'Radiology']",700,4.4,4,180,32.2745,75.6535,Well known hospital with good care,Medium,Good
81,Kapoor Hospital,Punjab,Pathankot,"['General Medicine', 'Pediatrics', 'ENT']",550,4.2,5,140,32.2758,75.6548,Reliable and affordable healthcare,Medium,Good
82,Saini Hospital Pathankot,Punjab,Pathankot,"['General Medicine', 'Pulmonology', 'Pathology']",600,4.3,5,150,32.277,75.656,Good for respiratory treatments,Medium,Good
83,City Hospital Pathankot,Punjab,Pathankot,"['Cardiology', 'Orthopedics', 'General Medicine']",650,4.2,4,160,32.2782,75.6572,Decent facilities and experienced doctors,Medium,Good
84,Life Care Hospital,Punjab,Pathankot,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.1,6,130,32.2795,75.6585,Affordable and friendly staff,Medium,Good
85,Drishti Eye Hospital Pathankot,Punjab,Pathankot,"['Ophthalmology', 'General Medicine']",500,4.3,3,100,32.2808,75.6598,Good eye care services,Medium,Good
86,Om Hospital Pathankot,Punjab,Pathankot,"['Cardiology', 'Radiology', 'General Medicine']",700,4.2,5,150,32.282,75.661,Trusted hospital with decent care,Medium,Good
87,Civil Hospital Moga,Punjab,Moga,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",400,4.1,7,220,30.8173,75.171,Major government hospital with basic facilities,Low,Good
88,Singla Hospital,Punjab,Moga,"['General Medicine', 'Pediatrics', 'ENT']",550,4.2,5,140,30.8185,75.1722,Reliable and affordable healthcare,Medium,Good
89,Deep Hospital Moga,Punjab,Moga,"['Cardiology', 'Orthopedics', 'General Medicine']",650,4.3,4,160,30.8198,75.1735,Good facilities with experienced doctors,Medium,Good
90,Life Care Hospital Moga,Punjab,Moga,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,6,130,30.821,75.1748,Affordable and friendly staff,Medium,Good
91,Saini Hospital Moga,Punjab,Moga,"['General Medicine', 'Pulmonology', 'Pathology']",650,4.3,5,150,30.8222,75.176,Good for respiratory and general treatments,Medium,Good
92,Drishti Eye Hospital Moga,Punjab,Moga,"['Ophthalmology', 'General Medicine']",500,4.4,3,100,30.8235,75.1772,Specialized eye care services,Medium,Good
93,Om Hospital Moga,Punjab,Moga,"['Cardiology', 'Radiology', 'General Medicine']",700,4.2,5,150,30.8248,75.1785,Trusted hospital with decent facilities,Medium,Good
94,City Hospital Moga,Punjab,Moga,"['General Medicine', 'Pathology', 'Dentistry']",450,4.1,6,120,30.826,75.1798,Good for basic treatments,Low,Good
95,Civil Hospital Firozpur,Punjab,Firozpur,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",400,4.1,7,220,30.9331,74.6225,Major government hospital with basic facilities,Low,Good
96,Sandhu Hospital,Punjab,Firozpur,"['General Medicine', 'Pediatrics', 'ENT']",550,4.2,5,140,30.9345,74.6238,Reliable and affordable healthcare,Medium,Good
97,City Hospital Firozpur,Punjab,Firozpur,"['Cardiology', 'Orthopedics', 'General Medicine']",650,4.3,4,160,30.9358,74.625,Good facilities with experienced doctors,Medium,Good
98,Life Care Hospital Firozpur,Punjab,Firozpur,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,6,130,30.937,74.6262,Affordable and friendly staff,Medium,Good
99,Saini Hospital Firozpur,Punjab,Firozpur,"['General Medicine', 'Pulmonology', 'Pathology']",650,4.3,5,150,30.9382,74.6275,Good for respiratory and general treatments,Medium,Good
100,Drishti Eye Hospital Firozpur,Punjab,Firozpur,"['Ophthalmology', 'General Medicine']",500,4.4,3,100,30.9395,74.6288,Specialized eye care services,Medium,Good
101,Om Hospital Firozpur,Punjab,Firozpur,"['Cardiology', 'Radiology', 'General Medicine']",700,4.2,5,150,30.9408,74.63,Trusted hospital with decent facilities,Medium,Good
102,Deep Hospital Firozpur,Punjab,Firozpur,"['General Medicine', 'Pathology', 'Dentistry']",450,4.1,6,120,30.942,74.6312,Good for basic treatments,Low,Good
103,Civil Hospital Kapurthala,Punjab,Kapurthala,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",400,4.1,7,220,31.3801,75.3845,Major government hospital with basic facilities,Low,Good
104,Sandhu Hospital Kapurthala,Punjab,Kapurthala,"['General Medicine', 'Pediatrics', 'ENT']",550,4.2,5,140,31.3815,75.3858,Reliable and affordable healthcare,Medium,Good
105,City Hospital Kapurthala,Punjab,Kapurthala,"['Cardiology', 'Orthopedics', 'General Medicine']",650,4.3,4,160,31.3828,75.387,Good facilities with experienced doctors,Medium,Good
106,Life Care Hospital Kapurthala,Punjab,Kapurthala,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,6,130,31.384,75.3882,Affordable and friendly staff,Medium,Good
107,Saini Hospital Kapurthala,Punjab,Kapurthala,"['General Medicine', 'Pulmonology', 'Pathology']",650,4.3,5,150,31.3852,75.3895,Good for respiratory and general treatments,Medium,Good
108,Drishti Eye Hospital Kapurthala,Punjab,Kapurthala,"['Ophthalmology', 'General Medicine']",500,4.4,3,100,31.3865,75.3908,Specialized eye care services,Medium,Good
109,Om Hospital Kapurthala,Punjab,Kapurthala,"['Cardiology', 'Radiology', 'General Medicine']",700,4.2,5,150,31.3878,75.392,Trusted hospital with decent facilities,Medium,Good
110,Deep Hospital Kapurthala,Punjab,Kapurthala,"['General Medicine', 'Pathology', 'Dentistry']",450,4.1,6,120,31.389,75.3932,Good for basic treatments,Low,Good
111,Civil Hospital Sangrur,Punjab,Sangrur,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",400,4.1,7,220,30.245,75.842,Major government hospital with basic facilities,Low,Good
112,Gupta Hospital Sangrur,Punjab,Sangrur,"['General Medicine', 'Pediatrics', 'ENT']",550,4.2,5,140,30.2463,75.8435,Reliable and affordable healthcare,Medium,Good
113,City Hospital Sangrur,Punjab,Sangrur,"['Cardiology', 'Orthopedics', 'General Medicine']",650,4.3,4,160,30.2476,75.845,Good facilities with experienced doctors,Medium,Good
114,Life Care Hospital Sangrur,Punjab,Sangrur,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,6,130,30.2489,75.8465,Affordable and friendly staff,Medium,Good
115,Saini Hospital Sangrur,Punjab,Sangrur,"['General Medicine', 'Pulmonology', 'Pathology']",650,4.3,5,150,30.2502,75.848,Good for respiratory and general treatments,Medium,Good
116,Drishti Eye Hospital Sangrur,Punjab,Sangrur,"['Ophthalmology', 'General Medicine']",500,4.4,3,100,30.2515,75.8495,Specialized eye care services,Medium,Good
117,Om Hospital Sangrur,Punjab,Sangrur,"['Cardiology', 'Radiology', 'General Medicine']",700,4.2,5,150,30.2528,75.851,Trusted hospital with decent facilities,Medium,Good
118,Deep Hospital Sangrur,Punjab,Sangrur,"['General Medicine', 'Pathology', 'Dentistry']",450,4.1,6,120,30.254,75.8525,Good for basic treatments,Low,Good
119,Civil Hospital Barnala,Punjab,Barnala,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",400,4.1,7,200,30.381,75.5465,Major government hospital with basic facilities,Low,Good
120,Sandhu Hospital Barnala,Punjab,Barnala,"['General Medicine', 'Pediatrics', 'ENT']",550,4.2,5,140,30.3822,75.5478,Reliable and affordable healthcare,Medium,Good
121,City Hospital Barnala,Punjab,Barnala,"['Cardiology', 'Orthopedics', 'General Medicine']",650,4.3,4,160,30.3835,75.549,Good facilities with experienced doctors,Medium,Good
122,Life Care Hospital Barnala,Punjab,Barnala,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,6,130,30.3848,75.5502,Affordable and friendly staff,Medium,Good
123,Drishti Eye Hospital Barnala,Punjab,Barnala,"['Ophthalmology', 'General Medicine']",500,4.4,3,100,30.386,75.5515,Specialized eye care services,Medium,Good
124,Om Hospital Barnala,Punjab,Barnala,"['General Medicine', 'Pathology', 'Dentistry']",450,4.1,6,120,30.3872,75.5528,Good for basic treatments,Low,Good
125,Civil Hospital Faridkot,Punjab,Faridkot,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",400,4.1,7,220,30.6735,74.755,Major government hospital with basic facilities,Low,Good
126,Guru Gobind Singh Medical College,Punjab,Faridkot,"['Cardiology', 'Neurology', 'General Medicine', 'Radiology']",800,4.5,4,350,30.6748,74.7565,Reputed medical college hospital with advanced care,Medium,Excellent
127,Sandhu Hospital Faridkot,Punjab,Faridkot,"['General Medicine', 'Pediatrics', 'ENT']",550,4.2,5,150,30.676,74.758,Reliable and affordable healthcare,Medium,Good
128,City Hospital Faridkot,Punjab,Faridkot,"['Cardiology', 'Orthopedics', 'General Medicine']",650,4.3,4,170,30.6772,74.7595,Good facilities with experienced doctors,Medium,Good
129,Life Care Hospital Faridkot,Punjab,Faridkot,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,6,140,30.6785,74.761,Affordable and friendly staff,Medium,Good
130,Drishti Eye Hospital Faridkot,Punjab,Faridkot,"['Ophthalmology', 'General Medicine']",500,4.4,3,110,30.6798,74.7625,Specialized eye care services,Medium,Good
131,Bajaj Hospital Gurdaspur,Punjab,Gurdaspur,"['General Medicine', 'Pediatrics', 'ENT']",550,4.2,5,150,32.0422,75.4042,Reliable and affordable healthcare,Medium,Good
132,Civil Hospital Gurdaspur,Punjab,Gurdaspur,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",400,4.1,7,220,32.041,75.403,Major government hospital with basic facilities,Low,Good
133,City Hospital Gurdaspur,Punjab,Gurdaspur,"['Cardiology', 'Orthopedics', 'General Medicine']",650,4.3,4,170,32.0435,75.4055,Good facilities with experienced doctors,Medium,Good
134,Life Care Hospital Gurdaspur,Punjab,Gurdaspur,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,6,140,32.0448,75.407,Affordable and friendly staff,Medium,Good
135,Drishti Eye Hospital Gurdaspur,Punjab,Gurdaspur,"['Ophthalmology', 'General Medicine']",500,4.4,3,110,32.046,75.4085,Specialized eye care services,Medium,Good
136,Om Hospital Gurdaspur,Punjab,Gurdaspur,"['General Medicine', 'Pathology', 'Dentistry']",450,4.1,6,120,32.0475,75.41,Good for basic treatments,Low,Good
137,Civil Hospital Tarn Taran,Punjab,Tarn Taran,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",400,4.1,7,200,31.451,74.927,Major government hospital with basic facilities,Low,Good
138,Sandhu Hospital Tarn Taran,Punjab,Tarn Taran,"['General Medicine', 'Pediatrics', 'ENT']",550,4.2,5,140,31.4522,74.9285,Reliable and affordable healthcare,Medium,Good
139,City Hospital Tarn Taran,Punjab,Tarn Taran,"['Cardiology', 'Orthopedics', 'General Medicine']",650,4.3,4,160,31.4535,74.93,Good facilities with experienced doctors,Medium,Good
140,Life Care Hospital Tarn Taran,Punjab,Tarn Taran,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,6,130,31.4548,74.9315,Affordable and friendly staff,Medium,Good
141,Drishti Eye Hospital Tarn Taran,Punjab,Tarn Taran,"['Ophthalmology', 'General Medicine']",500,4.4,3,100,31.456,74.933,Specialized eye care services,Medium,Good
142,Om Hospital Tarn Taran,Punjab,Tarn Taran,"['General Medicine', 'Pathology', 'Dentistry']",450,4.1,6,120,31.4575,74.9345,Good for basic treatments,Low,Good
143,Civil Hospital Muktsar,Punjab,Muktsar,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",400,4.1,7,200,30.474,74.517,Major government hospital with basic facilities,Low,Good
144,Sandhu Hospital Muktsar,Punjab,Muktsar,"['General Medicine', 'Pediatrics', 'ENT']",550,4.2,5,140,30.4752,74.5185,Reliable and affordable healthcare,Medium,Good
145,City Hospital Muktsar,Punjab,Muktsar,"['Cardiology', 'Orthopedics', 'General Medicine']",650,4.3,4,160,30.4765,74.52,Good facilities with experienced doctors,Medium,Good
146,Life Care Hospital Muktsar,Punjab,Muktsar,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,6,130,30.4778,74.5215,Affordable and friendly staff,Medium,Good
147,Drishti Eye Hospital Muktsar,Punjab,Muktsar,"['Ophthalmology', 'General Medicine']",500,4.4,3,100,30.479,74.523,Specialized eye care services,Medium,Good
148,Om Hospital Muktsar,Punjab,Muktsar,"['General Medicine', 'Pathology', 'Dentistry']",450,4.1,6,120,30.4805,74.5245,Good for basic treatments,Low,Good
149,Civil Hospital Rupnagar,Punjab,Rupnagar,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",400,4.1,7,200,30.968,76.525,Major government hospital with basic facilities,Low,Good
150,Sandhu Hospital Rupnagar,Punjab,Rupnagar,"['General Medicine', 'Pediatrics', 'ENT']",550,4.2,5,140,30.9692,76.5265,Reliable and affordable healthcare,Medium,Good
151,City Hospital Rupnagar,Punjab,Rupnagar,"['Cardiology', 'Orthopedics', 'General Medicine']",650,4.3,4,160,30.9705,76.528,Good facilities with experienced doctors,Medium,Good
152,Life Care Hospital Rupnagar,Punjab,Rupnagar,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,6,130,30.9718,76.5295,Affordable and friendly staff,Medium,Good
153,Drishti Eye Hospital Rupnagar,Punjab,Rupnagar,"['Ophthalmology', 'General Medicine']",500,4.4,3,100,30.973,76.531,Specialized eye care services,Medium,Good
154,Om Hospital Rupnagar,Punjab,Rupnagar,"['General Medicine', 'Pathology', 'Dentistry']",450,4.1,6,120,30.9745,76.5325,Good for basic treatments,Low,Good
